Gradler;Stinkender Mensch
Vierteljahr;Quartal
ratschen, schnattern, bappeln;quasseln
Ratschkattl;Quasselstrippe
;Rà:dschkàddl]
Schmarren, Käse, Blödsinn;Quatsch
benzen, treiben, gnaunzen;quängeln
;Hör amoi auf mit dem Benzn!
lästiges Wimmerl;Quängler
a Bisserl, Muckenbritscherl;Quentchen
Quint;Quinte
Schneebesen;Quirl
Kräh;Rabenkrähe
Radio, der;Radio, das
[ràdio];der Radioapparat
ruchert;raffgierig
ausgefuchst, derfault;raffiniert
Ruch;Raffzahn
Roa;Rain
gesteckt voll;rappelvoll
Feld-, Nissel-, Vogerlsalat;Rapunzel (Salat)
geschwind, schleunig;rasch
reisen, rumpeln, pretschn;rasen
Waschel;Rasierpinsel
Schepperl;Rassel
Gemeinde;Rathaus
Ratz, der;Ratte, die
radibutz;ratzekahl
Selch;Räucherkammer
selchen;räuchern
Geselchtes, Geräuchertes;Rauchfleisch
wax, raubollert;rau
Walgler, Suri, Ruß;Rausch
kapieren, spannen;realisieren
Duscher, Duscherer;Regenguss, -Schauer
Gwichtl, Krickerl;Rehgeweih
Reibeisen, das;Reibe, die
Reiberdatschi;Reibekuchen
gespickt, geldig;reich
glangen;reichen
zeitig;rief (Obst)
Griecherl;Reineclaude
Roas;Reise
roasen;reisen
Daxen;Reisig
Wasserlache, Lache;Regenpfütze
Roaffa;Reifen
reisen, rumpeln, sausen, fetzen;rennen
Radi;Rettich
Hebweih;Richtfest
schmecken;riechen
Rindsbraten;Rinderbraten
rankeln;ringen (sportl.)
Rankler;Ringer
Randstein;Rinnstein
Kittel;Rock (Frauen)
Joppe, Frack, Jacke;Rock (Sakko)
Buchtel, Wuchtel;Rohrnudel
walken;rollen
Nudelwalker;Rollholz
Weinbeere;Rosine
Geröstete;Röstkartoffeln
rote Rübern, Rannen;rote Bete
Blaukraut, das;Rotkohl, der
Rotzglocke;Rotz
Rotzlöffel, Rotzbub;Rotzbengel
reiben, riebeln;rubbeln
Buckel;Rücken
Kraxe;Rückentrage
buckelkrax;Rücken, auf dem
arschlings;rückwärts
staad;ruhig
Gesundheitskuchen;Rührkuchen
koppeln;rülpsen
Kopperer;Rülpser
Dult, Volksfest;Rummel
umherum, rundumherum;rundherum
Saurübe;Runkelrübe
aufstreichen, schmieren;runterhauen (eine)
Rüscherl;Rüschen
nackeln;rütteln
Schlagrahm, der;Sahne, die
Singerts;Sängertreffen
Schafhammel;Schafbock
rass;scharf
Hutsche;Schaukel
Schlankel;Schelm
Gaudi, Spasettl;Scherz
schäpps;schief
schirgeln;schielen
schirgelnder;schielender
granteln, belfern,;schimpfen
Nachtgewand;Schlafanzug
schwelch;schlaff, schlapp
traumhappert;schlaftrunkern
Pumperer;Schlag (laut)
Batzi, Schlawuzi;Schlawiner
grantig;schlecht gelaunt
Grant;schlechte Laune
schlenzen;schleudern
zumachen, sperren;schließen
Schnackler;Schluckauf
schliefen;schlüpfen
Ausgezogene, Nudeln, Striezeln;Schmalzgebäck
Wehdam;Schmerz
Wehdam;Schmerzen
eine Bappe ziehen, ein Bepperl machen;schmollen
schwärzen;schmuggeln
Fleck;Schmutzfleck
dreckig;schmutzig
aper;schneefrei
schneiben;schneien
gaach;schnell
Ditzel, Ditzi;Schnuller
Schuhbänder;Schnürsenkel
Katarrh;Schnupfen
Schmalzler. Schmai;Schnupftabak
pfeilgerade;schnurgerade
plerren;schreien
plerrend;schreiend
Schulranzen, Ranzen;Schultasche
Schupf, die;Schuppen, der
Führtuch;Schürze (Frauen)
Schaber;Schürze (Männer)
Weiberer, Gigerl,;Schürzenjäger
teigig;schwabbelig
leere Hose, Krisperl;Schwächling
Schweinsbraten;Schweinebraten
dorad;schwerhörig
Schwoaß;Schweiß
schwer;schwierig
Sechser, der;Sechs, die
schauen, spitzen, lurren;sehen
gescheit, hübsch, unbändig, recht, närrisch, sakrisch;sehr
selm;selbst
geradig;selbstbewusst
Senft;Senf
Sans;Sense
gewiss;sicher
Siebener, der;Sieben, die
Simmerl;Simon
Einschichtige/r;Single
Socken, der;Socke, die
Bub;Sohn
klieben;spalten
Gaudi, Spasettl;Spaß
Schmankerl;Spezialität
spiegelheiter, hei;spiegelglatt
Gespiel, Gspielei;Spiel
Teigaff;Spinner
Spitz, der;Spitze, die
Gstanzl (das);Spottlied
Pflanz;Sprüche
Schmarrenkübel, Krampfhenne;Sprüchemacher
Waxlawa, das;Stechpalme
Gangsteigerl;Steig (Berg)
Grödel;Steigeisen (klein)
gaach;steil
dacheln;stibitzen
bockeln;stinken
gronen;stöhnen
im Weg rumgeh, irren;stören
boußen;stoßen
Trambahn;Straßenbahn
straahn;streuen
Elektrische, das;Strom (el.)
Staffel;Stufe
siass;süß
Schleckerts, Schleckzeug;Süßwaren
Kramer, Kramerladen;Tante-Emma-Laden
Sacktuch, Schneuztuch;Taschentuch
Haferl;Tasse, groß
dorerd;taub
God;Taufpate
Godei, Godin;Taufpatin
leinen;tauen
Hamperer, Haubentaucher, Konixl, Haderlump;Taugenichts
Tausad;Tausend
Genierl;Tausendsassa
Taxler;Taxifahrer
Lache, Weiher;Teich
Teller, das;Teller, der
Terz;Terze
probieren;testen
Deixel, Huraxdax, Sparifankerl;Teufel
Budel;Theke
Bilettl;Ticket
Vieh;Tier
Viehdoktor;Tierarzt
Vieherl;tierchen
viehnärrisch;tierlieb
Schreiner, Kistler;Tischler
umfetzen;toben
Dirndl, Madl;Tochter
Kloo;Toilette
Kloopapier;Toilettenpapier
Paradeiser;Tomate
gescheid, prima, gewandt, geführig;toll (positiv)
gspinnert, deppert;toll (negativ)
Patscherl, Dalk, Lattierl;Tollpatsch
irdern;Ton, aus
Hafen;Topf
Hafner;Töpfer
tragend;trächtig
Bulldog, Schlepper;Traktor
Dotsch, Dotschen;Trampel
Zacherl, Wasserburger;Tränen
fade Molln, Leimsieder, Fadian;Trauerkloß
Bulldog, Schlepper;Trecker
Stiege;Treppe
Stiegengeländer;Treppengeländer
Schenk, die;Tresen, der
tropfen;triefen
sekkieren;trietzen
Leiberl;Trikot
drucka, dricke;trocken
dricken;trocknen
tritscheln, rumzipfeln;trödeln
denascht;trotzdem
Sturschädel;Trotzkopf
Trankerl;Trunk
Bibgockel;Truthahn
Servus, Pfia Gott, Pfiat Di;Tschüss
Bombardon;Tuba
Gumpe, Lache, Weiher;Tümpel
doa;tun
Tauch;Tunke
Tunell, das;Tunnel, der
Türstock;Türrahmen
Stranize;Tüte (Papier)
hudeln;übereilt handeln
zamfahren;überfahren, jemanden
;Bass auf, dass Di koana zsammfahrt!
speien;übergeben, sich
aufgedreht;übermütig
tupfen;übertrumpfen
Gaudi, die;Ulk
gpassig;ulkig
halsen;umarmen
handsam;umgänglich
umeinander;umher
umackern;umpflügen
Tanz machen;Umstände machen
Krauderer;Umstandskramer
Geschiss, Gescherr;Unannehmlichkeit
Rotzlöffel, Hundsbankert, Hundskrüppel;unartiges Kind
zweierlei, ungut, anders;unbehaglich
dalkert;unbeholfen
Schliffel, Büffel;ungehobelter Kerl
letz;ungemütlich
zunächst, neulings;unlängst
Grant;Unmut
Glump, Graffel;Unrat
Springingerl, Nervöserl;unruhiger Mensch
oakad;unrund
ins;uns
Krampf, Schmarren, Käse;Unsinn
diskurieren;unterhalten, sich
Pumperer,;Unterhose
auf den Schlag;unvermittelt
ausgeschämt;unverschämt
Rüpel, Lackel, Hammel;unverschämter Mensch
Wetter;Unwetter
Biesel, Seich, Wiesi;Urin
bieseln,seichen, zinseln;urinieren
Strawanzer;Vagabund
Veigerl;Veilchen
ausmachen;verabreden
dick haben, ;verabscheuen
derblümeln;veralbern
derblecken;verarschen
derdürren;verdorren
ausrauchen;verdunsten
derdursten;verdurtsen
Tschamsterer;Verehrer
eingehen;verenden
übergeben;vererben (Hof)
vermachen;vererben (allgemein)
durchbringen;vergeuden
vertrenzen, versauen;verkleckern
umschnackeln;verknacksen
Glust;Verlangen
angangerln;verleiten
weh tun;verletzen
schmusen;vermitteln
Schmuser;Vermittler
verdreschen, verhauen;vermöbeln
Vroni, Nini;Veronika
verpritschen, verpfeifen, hinhängen;verpetzen
verkaufen;verraten
auskugeln, ausschnackeln;verrenken
gspinnert, übergeschnappt, narrisch;verrückt
gschamig;verschämt
zusperren, zumachen;verschließen
ausrasten, verschnaufen;verschnaufen
gut aufgehoben sein;versorgt sein
derblümeln;verspotten
probieren;versuchen
derbröseln;verunglücken
herunterkommen;verwahrlosen
heruntergekommen, grintig, verhaut;verwahrlost
hernehmen;verwenden
Vierer, der;Vier, die
Quartl;Viertelliter
Virus, der;Virus, das
an Ort und Stelle,;vor Ort
[an ordd und schdäi, ;am Ort
so tun, wie wenn;vorgeben
Obacht;Vorsicht
Dampferl;Vorteig
vorbei, umher, herum;vorüber
Kranewitt;Wacholder
nackeln;wackeln
Wadel, der;Wade, die
sich trauen;wagen
Wagner;Wagenbauer
Remise;Wagenschuppen
gschleckert, heikel, extrig;wählerisch
Waiserl;Waisenkind
Welschnuss;Walnuss
walgeln;walzen
Liftlmalerei;Wandmalerei
Backen, der;Wange, die
Klubberl;Wäschaklammern
Aufvogel;Waldkauz
Grand;Wasserbehälter (feststehend)
[brunnàgrannd, o:fàgrannd];(Brunnen-, Ofen-)
Schneider;Weberknecht (Tier)
sich spreizen;wehren, sich
Weidn;Weide (Baum)
Woad;Weide (Viehweide)
Palmkatzerl;Weidenkätzchen
Christbaum;Weihnachtsbaum
Christkindl;Weihnachtsgeschenk
Weihbrunnen;Weihwasser
blöken, zahnen, röhren, trenzen;weinen
...mäßig;...weise
Weiße, das;Weiße, die (Bier)
weitschichtig;weitläufig
was für ein;welcher
schwelch;welk
Waller;Wels
bal;wenn
schlenzen;werfen
Weps, der;Wespe, die
Leiberl;Weste
wegen was;weswegen
(es tut) himitzen;Wetterleuchten
sich aufmanndeln, gschafteln;wichtigtun
Gschaftelhuber, Gschaftler;Wichtigtuer
fatschen, einfatschen;wickeln (Bandage)
zuwider;widerlich
Pfüat Gott, Wiederschauen;Wiedersehen (auf)
Treibauf, Wildling;Wildfang
Wilderer;Wilderer
wureln;wimmeln
Schafpattern;Windpocken
Salettl;Wintergarten
Gipfel;Wipfel
Hutsche;Wippe
hutschen;wippen
Werktag;Wochentag
unter der Woche;wochentags
munter, pumperlgsund;wohlauf
körndlgefuttert;wohlgenährt
geldig, eingesäumt;wohlhabend
gschmackig, gut fein;wohlschmeckend
von was;wovon
zu was;wozu
auswinden;wringen
Ruch;Wucherer
Schermaus;Wühlmaus
Ruferl, Rufernschmarrn, Bletze;Wundschorf
täte;würde
gschmackig;würzig
fuchdig, harb, züntig, fuchsig, pelzig;wütend
aufgehen;wütend werden
x-Füße;Beine
x-füßig, schelchhaxert;x-beinig
Fuchtl, Beißzange, Bissgurn;Xanthippe
Zach, Zacherl, Zachä;Zacharias
Zacken, der;Zacke, die
zaach;zäh
Fotzenspängler;Zahnarzt
Zahnweh;Zahnschmerzen
schlenkeln;zappeln
stockfinstre Nacht;zappenduster
Gatter;Zauntor
Zeck, der;Zecke, die
Zehner, der;Zehn, die
Zeiserl, das;Zeisig, der
derdrücken;zerdrücken
verbuckeln, verkrüppeln;zerknittern
derkrallen;zerkratzen
derbröseln, derwutzeln;zerkrümeln
dermantschen;zerquetschen
kaputt machen;zerstören
derbatzen;zerschmettern
zerkriegen;zerstreiten
zerschmeißen, einhauen;zertrümmern (Fenster)
ein Gestell/Gescherr machen;Zicken machen
Geißlein;Zicklein
Geiß;Ziege
Geißbock;Ziegenbock
Geißenkäse;Ziegenkäse
Mumps, die;Ziegenpeter
schopfen;ziehen (an den Haaren)
Quetsche, Ziech, Zugharmonie;Ziehharmonika
ganz schön, hübsch;ziemlich
Krallgattern;Zither
datterig;zittrig
Kuhschwanzl;zittrige Kurve
Meterstab;Zollstock
Gifthaferl, Zornbinkel;zorniger Mensch
Sauglocken läuten;Zoten reißen
ins Bett bringen;zu Bett bringen
auf Ostern/Weihnachten;zu Ostern/Weihnachten
Saubär;Zuchteber
Zuchtl;Zuchtsau
Dreingabe, Draufgabe;Zugabe
daheim;zuhause
Daheim;Zuhause
Bletschel;Zunge
an die Hand gehen;zur Hand gehen
bei der Hand haben;zur Hand haben
in die Schule/Kirche;zur Schule/Kirche
auf die Seite gehen;zur Seite gehen
bei der Tür herein;zur Türe herein
auf die Welt kommen;zur Welt kommen
herrichten;zurechtmachen
sich halten;zurückhalten, sich
miteinander;zusammen
zusperren, sperren;zuschließen
zuschauen;zusehen
passieren;zustoßen (etwas)
anzipfen, ankäsen;zuwider sein
Zweier, der;Zwei, die
zwiefach;zweifach
Daxen;Zweige (Nadelbaum)
Zwiebel, der;Zwiebel, die
Brotzeit;Zwischenmahlzeit
